437.05,-6.2563e+05,1.4403
-9.9915,-6.2559e+05,1.3573
-345.27,-6.2542e+05,1.2487
-512.91,-6.2511e+05,1.1725
-848.19,-6.2493e+05,1.1367
-1127.6,-6.2463e+05,1.1458
-1485.2,-6.2436e+05,1.1746
-1787,-6.2413e+05,1.2107
-2077.6,-6.2396e+05,1.2393
-2412.8,-6.237e+05,1.2445
-2669.9,-6.2342e+05,1.211
-3172.8,-6.233e+05,1.1409
-3631,-6.2337e+05,1.049
-3686.9,-6.2295e+05,0.96794
-3675.7,-6.2263e+05,0.91891
-3955.1,-6.2239e+05,0.91484
-4279.2,-6.2218e+05,0.95513
-4625.7,-6.2199e+05,1.0371
-4681.6,-6.2161e+05,1.1498
-4592.2,-6.2118e+05,1.2619
-4502.8,-6.2066e+05,1.3325
-4547.5,-6.2028e+05,1.3355
-4402.2,-6.1985e+05,1.286
-4122.8,-6.1952e+05,1.225
-4156.3,-6.1914e+05,1.1736
-4133.9,-6.1888e+05,1.1302
-4804.5,-6.188e+05,1.0814
-5139.8,-6.1861e+05,1.0432
-5329.8,-6.1828e+05,1.0349
-5542.1,-6.1802e+05,1.0773
-5866.2,-6.1781e+05,1.1525
-6212.7,-6.1766e+05,1.2397
-6570.3,-6.1763e+05,1.3126
-6950.3,-6.1774e+05,1.3939
-7296.8,-6.1792e+05,1.4717
-7609.7,-6.1796e+05,1.5435
-7933.8,-6.1765e+05,1.5582
-7945,-6.1726e+05,1.5385
-7956.1,-6.1689e+05,1.496
-7978.5,-6.1656e+05,1.485
-8190.8,-6.1623e+05,1.5063
-8369.7,-6.1591e+05,1.5536
-8637.9,-6.1562e+05,1.5934
-8861.4,-6.152e+05,1.6136
-8962,-6.1488e+05,1.6229
-8962,-6.1449e+05,1.6222
-8738.5,-6.1413e+05,1.6001
-8403.2,-6.1412e+05,1.5369
-8000.8,-6.143e+05,1.4459
-7654.4,-6.1431e+05,1.3588
-7285.6,-6.1433e+05,1.3061
-6983.8,-6.1458e+05,1.3036
-6838.5,-6.1497e+05,1.3349
-6536.8,-6.1527e+05,1.3746
-6022.7,-6.1534e+05,1.3928
-5709.8,-6.1511e+05,1.3998
-5564.5,-6.1478e+05,1.424
-5530.9,-6.1444e+05,1.4921
-5542.1,-6.1409e+05,1.5906
-5519.8,-6.1365e+05,1.6865
-5564.5,-6.1326e+05,1.7521
-5821.5,-6.129e+05,1.8047
-6168,-6.1277e+05,1.8471
-6626.2,-6.1257e+05,1.8688
-6749.1,-6.1224e+05,1.8286
-6782.7,-6.1184e+05,1.7479
-6782.7,-6.114e+05,1.6671
-6726.8,-6.1101e+05,1.6174
-6447.4,-6.1055e+05,1.5823
-6290.9,-6.101e+05,1.5324
-5955.6,-6.1003e+05,1.4629
-5564.5,-6.0994e+05,1.3863
-5329.8,-6.0962e+05,1.3224
-5039.2,-6.0924e+05,1.2856
-4703.9,-6.0904e+05,1.2781
-4402.2,-6.0869e+05,1.2964
-4335.1,-6.083e+05,1.3232
-4234.5,-6.0787e+05,1.34
-4279.2,-6.0746e+05,1.3327
-3977.5,-6.0705e+05,1.3052
-3653.4,-6.0672e+05,1.2813
-3318.1,-6.0648e+05,1.2839
-3049.9,-6.0619e+05,1.3038
-3228.7,-6.0584e+05,1.3191
-3575.1,-6.0551e+05,1.3069
-3686.9,-6.0511e+05,1.2699
-3675.7,-6.0474e+05,1.2102
-3642.2,-6.0436e+05,1.1346
-3552.8,-6.0394e+05,1.0682
-3541.6,-6.0358e+05,1.0357
-3508.1,-6.0319e+05,1.0576
-3575.1,-6.0281e+05,1.1297
-3821,-6.025e+05,1.2317
-4212.2,-6.0269e+05,1.3327
-4581,-6.0289e+05,1.3938
-4938.6,-6.0259e+05,1.3919
-5139.8,-6.022e+05,1.3269
-5463.9,-6.0187e+05,1.2275
-5653.9,-6.0167e+05,1.14
-5832.7,-6.0137e+05,1.0983
-5687.4,-6.0091e+05,1.1196
-5698.6,-6.0046e+05,1.1772
-5609.2,-6.0005e+05,1.2427
-5665.1,-5.9958e+05,1.2678
-5653.9,-5.9911e+05,1.2575
-5486.2,-5.9864e+05,1.2178
-5285.1,-5.9826e+05,1.1921
-5028,-5.9807e+05,1.1905
-4726.3,-5.9818e+05,1.2182
-4435.7,-5.9838e+05,1.2589
-4189.8,-5.9832e+05,1.2983
-4100.4,-5.9796e+05,1.3209
-3742.8,-5.9771e+05,1.3028
-3251,-5.977e+05,1.2311
-2882.2,-5.9764e+05,1.1153
-2546.9,-5.9738e+05,0.99587
-2345.8,-5.9708e+05,0.90704
-2301.1,-5.9673e+05,0.86673
-2491.1,-5.9636e+05,0.87489
-2502.2,-5.9597e+05,0.93203
-2357,-5.9563e+05,1.0389
-2066.4,-5.9557e+05,1.1675
-1719.9,-5.9557e+05,1.2794
-1395.8,-5.9544e+05,1.3364
-1094.1,-5.9547e+05,1.3561
-702.9,-5.9546e+05,1.3454
-389.98,-5.9534e+05,1.3179
-155.28,-5.951e+05,1.2603
23.537,-5.9482e+05,1.2073
180,-5.9454e+05,1.1835
358.82,-5.942e+05,1.2123
627.04,-5.9396e+05,1.2889
951.15,-5.9375e+05,1.3985
1342.3,-5.9363e+05,1.5149
1755.8,-5.9359e+05,1.612
2091.1,-5.9377e+05,1.6794
2348.1,-5.9391e+05,1.7233
2739.3,-5.9405e+05,1.7362
3123,-5.94e+05,1.7127
3324.2,-5.9378e+05,1.6525
3570.1,-5.9393e+05,1.5582
3558.9,-5.9423e+05,1.4399
3547.7,-5.9462e+05,1.2954
